"Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income in US Dollars per year","How long have you been working?","If employed, what is your current job title (without the GIS)?","Is ""GIS"" officially in your job title?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","If you obtained a professional certification, did your employer pay for it?","If you obtained a professional certification, did you get a raise as a result?","How many screens/monitors do you use for your work?","Does (or did before COVID) you job require any field work?","How has the COVID-19 pandemic affected you in regard to the GIS profession?","Are you currently work from home due to COVID-19? ","Will you continue to work from home for the long term?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?","Should we ban memes?"
"Female","United Kingdom",,"18 to 24","Master's Degree","Yes","Student - University/College","10000","Not employed.",,,"Academia","ArcGIS;ERDAS;Google Earth;GRASS;QGIS","QGIS","A bit","GIMP","50/50","FME;GDAL;GIMP;PyCharm;Python;R","No","None (ShapeFiles baby)","No",,,"2","Yes - Once a year","Not much difference","Yes","Yes","10","10","haha memes go brrrr"
"Male","United States","Wisconsin","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","50000","5-10 years","Specialist","Yes","Local Government","ArcGIS","ArcGIS","Primarily","Illustrator;PhotoShop","Vector","Access;InDesign","No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a week","Not much difference","No",,"6","6","Yes"
"Female","United States","Missouri","35 to 44","Master's Degree","Mine isn't in GIS, so irrelevant ","Mid level","69000","2-5 years","Analyst","No","Local Government","ArcGIS","ArcGIS","Primarily","No","Vector","FME;GIMP;Python;SQL Server","No","SQL Server","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","10","8","haha memes go brrrr"
"Male","United States","Maryland","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","19000","Under 1 year","Research Assistant","No","Central Government","ArcGIS","ArcGIS","No","No","50/50","FME;GIMP;R","R","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a month","Negatively","Yes","To some extent","7","8","haha memes go brrrr"
"Male","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","100000","5-10 years","Developer","No","GIS","ArcGIS;AutoCAD","ArcGIS","Exclusively","GIMP","50/50","GIMP;Python;SQL Server;VS Code","JavaScript","PostgreSQL","No","Yes",,"2","No","Positively","Yes","To some extent","8","8","haha memes go brrrr"
"Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","42000","1-2 years","Specialist","CAD Technician/GIS Specalist","Civil Engineering","ArcGIS;AutoCAD","ArcGIS","Exclusively","No","Vector","Python;REVIT","Python","File Geodatabase (ESRI)","No","No","No","2","No","Not much difference","Yes","To some extent","8","8","Don't care"
"Male","United States","Colorado","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","85000","11-25 years","Imagery Analyst","No","Central Government","ArcGIS;ENVI;ERDAS;Google Earth;Socket GXP","ArcGIS","Primarily","No","Vector","Access;GDAL;Matlab;Python","No","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","To some extent","10","10","haha memes go brrrr"
"Female","United States","South Dakota","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","43000","5-10 years","Coordinator","Yes","Local Government","ArcGIS;Google Earth;QGIS","ArcGIS","A bit","InkScape;GIMP","Vector",,"No","File Geodatabase (ESRI)","No",,,"2","Yes - Once a year","Not much difference","No","No","7","8","Don't care"
"Male","Netherlands","Not United States","18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","0","Not employed.",,,"Archaeology","ArcGIS;QGIS","ArcGIS","Exclusively","No","50/50","Python","Python;JavaScript","File Geodatabase (ESRI)","No",,,"3",,"Not much difference","Yes","Yes","9","10","No"
"Male","United States","Illinois","25 to 34","Bachelor's (Undergraduate) Degree","Yes","Mid level","90000","5-10 years","Analyst","No","Law Enforcement","ArcGIS","ArcGIS","Exclusively","No","Vector",,"Python;JavaScript","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","I was, but back in the office now","To some extent","8","8","No"
"Male","United States","Connecticut","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","65000","2-5 years","Specialist","Geospatial Specialist","Engineering","ArcGIS;AutoCAD;Google Earth","ArcGIS","50/50","No","Vector","Python","Python","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Positively","I was already working from home","I was already working from home","8","8","No"
"Female","United States","Illinois","45 to 54","Bachelor's (Undergraduate) Degree",,"Self employed (Entrepreneur, Freelancer, etc..)","30000","26 or more years","Research Analyst","Yes","Environmental","ArcGIS;GRASS;QGIS","ArcGIS","Primarily","Illustrator;PhotoShop;InkScape;GIMP","50/50","GDAL;GIMP;Matlab;Pix4D;PostGIS;Python;VS Code;vi","Python;SQL;JavaScript","PostgreSQL","No",,,"2","Yes - Once a week","Not much difference","I was already working from home","Yes","7","7","No"
"Male","United States","Texas","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","41000","1-2 years","Technician","Yes","Local Government","ArcGIS","ArcGIS","50/50","Illustrator","Vector","PyCharm;Python;SQL Server","Python","SQL Server","No",,,"3","Yes - More than once a month","Not much difference","No",,"9","9","haha memes go brrrr"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Self employed (Entrepreneur, Freelancer, etc..)","40000","2-5 years","Technician","Yes","Environmental","ArcGIS","ArcGIS","No","PhotoShop","50/50",,"No","Personal Geodatabase (ESRI)","No","No","No","2","Yes - Once a week","Not much difference","I was already working from home","To some extent","9","8","haha memes go brrrr"
"Male","United States","Maryland","18 to 24","Master's Degree","Yes","Student - University/College","9000","5-10 years","Research Assistant","No","Education","ArcGIS;AutoCAD;ERDAS;Google Earth;QGIS","ArcGIS","Exclusively","Illustrator;GIMP","Raster","Access;FME;Pix4D;PostGIS;Python;R;SQL Server","No","MySQL","No",,,"2","No","Not much difference","Yes","Yes","9","9","haha memes go brrrr"
"Male","United States","Maryland","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","73000","2-5 years","Analyst","Yes","Local Government","ArcGIS","ArcGIS","No","Illustrator;PhotoShop","50/50","InDesign;Python;SQL Server;Excel","Python;SQL","File Geodatabase (ESRI)","No",,,"3","Yes - More than once a month","Not much difference","Yes","To some extent","7","7","haha memes go brrrr"
"Male","United States","South Dakota","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","47320","5-10 years","Technician","Yes","Civil Engineering","ArcGIS;AutoCAD;Google Earth;GRASS;QGIS","QGIS","Primarily","No;People still produce maps? ;)","Vector","GDAL;Pix4D;PostGIS;VS Code","No","PostgreSQL","No",,,"2","Yes - More than once a week","Not much difference","I was, but back in the office now","No","3","2","haha memes go brrrr"
"Female","Europe",,"18 to 24","Bachelor's (Undergraduate) Degree","Currently working towards a Masters and I'd say it's worth it as a structured way to gain experience/skills/networking. My masters is tuition-free, though, so I'd say whether or not it's a worthy investment probably depends on the cost.","Student - University/College","0","Not employed.",,,,"ArcGIS;Idrisi;QGIS","ArcGIS","Primarily","No","50/50","PyCharm;Python;R","Python;SQL","File Geodatabase (ESRI)","No",,,"Laptop/tablet only",,,,,"7","5","No"
"Male","United States","Massachusetts","25 to 34","Master's Degree","Yes","Mid level","89000","2-5 years","Specialist","Yes","Central Government","ArcGIS","ArcGIS","Primarily","No","Vector","FME;PyCharm;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","7","9","haha memes go brrrr"
"Male","United States","Virginia","25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Senior","115000","11-25 years","Developer","Yes","Defense","ArcGIS","ArcGIS","Primarily","No","50/50","GDAL;PyCharm;Python","Python","PostgreSQL","No","Yes","No","2","No","Positively","Yes","Yes","9","9","Don't care"
"Male","Other",,"35 to 44","Doctorate degree","Maybe","Mangement","0000","11-25 years","Teacher","No","Academia","ArcGIS;Google Earth;QGIS","ArcGIS","50/50","No","Raster","Access;Python","No","None (ShapeFiles baby)","No",,,"Laptop/tablet only","Yes - Once a year","Not much difference","No",,"7","9","Yes"
"Other / Prefer not to say","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","60000","2-5 years","Coordinator","Geomatics ","Federal","ArcGIS;ENVI;Google Earth;GRASS;QGIS","ArcGIS","Primarily","InkScape;GIMP","50/50","Access;GDAL;GIMP;Pix4D;Python;R","Python","File Geodatabase (ESRI)","No",,,"2","Yes - Once a week","Not much difference","Yes","To some extent","7","4","No"
"Female","United States","Pennsylvania","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","40000","Under 1 year","Technician","No","Consulting","ArcGIS;Google Earth;GRASS;QGIS","ArcGIS","A bit","No","Vector","PostGIS;Python;R","No","PostgreSQL","No",,,"2","Yes - More than once a week","Negatively","I was, but back in the office now","No","8","10","haha memes go brrrr"
"Male","United Kingdom","Not United States","25 to 34","Master's Degree","Maybe","Mid level","59258.43","5-10 years","Specialist","Yes","Consulting","ArcGIS;AutoCAD;Global Mapper;Google Earth;QGIS","ArcGIS","Primarily","Illustrator;GIMP","Vector","GDAL;Pix4D;Python;VS Code","Python;SQL;C#;JavaScript","SQLite (SpatiaLite, GeoPackage)","No",,,"2","Yes - More than once a year","Positively","Yes","Yes","8","8","haha memes go brrrr"
"Female","United States","Utah","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","70000","5-10 years","Project Manager","No","Consulting","ArcGIS","ArcGIS","Exclusively","No","Raster",,"No","File Geodatabase (ESRI)","No",,,"3","Yes - More than once a month","Not much difference","Yes","Yes","9","10","No"
"Male","United States","Texas","55 to 64","Bachelor's (Undergraduate) Degree","No","Mid level","70000","11-25 years","Analyst","Yes","Central Government","ArcGIS;Google Earth;Java script maps","ArcGIS","Exclusively","Illustrator","Vector","Access;FME;PyCharm;Python;SQL Server","Python;SQL;JavaScript","File Geodatabase (ESRI)","No","No",,"2","No","Not much difference","Yes","To some extent","8","8","Don't care"
"Male","United States","Pennsylvania","18 to 24","High School or equivalent",,"Student - University/College","15000","Not employed.",,"No",,"ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","Primarily","Illustrator;PhotoShop","50/50","InDesign","No","None (ShapeFiles baby)","No","No",,"2","No","Not much difference","Yes","To some extent","5","6","No"
"Female","Europe",,"35 to 44","Master's Degree","Maybe","Mid level","60000","11-25 years","Developer","Yes","Insurance","QGIS","QGIS",,"No","Vector","GDAL;PostGIS;Python","Python;SQL;.NET;C#;JavaScript","PostgreSQL","No",,,"2","No","Not much difference","I was already working from home","I was already working from home","10","10","No"
"Male","United States","Florida","25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","61755","11-25 years","Manager","No","Forestry","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector","Python;SQL Server","No","SQL Server","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","7","8","No"
"Female","United States","Kansas","25 to 34","Master's Degree","Yes","Mid level","78000.00","5-10 years","Specialist","Yes","Energy","ArcGIS;Google Earth;QGIS","ArcGIS","A bit","No","Vector","Python;SQL Server","No","SQL Server","No",,,"2","No","Not much difference","Yes","Yes","9","9","Don't care"
"Male","United Kingdom",,"25 to 34","Master's Degree","Yes","Mid level","56000","5-10 years","Consultant","Yes","Engineering","ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","Primarily","InkScape","50/50","Access;FME;GDAL;PostGIS;Python;SQL Server","Python","PostgreSQL","No",,,"2","No","Not much difference","Yes","Yes","8","8","haha memes go brrrr"
"Female","United States","Oregon","25 to 34","In a PhD program now","Maybe","Student - University/College","30000","5-10 years",,"No","Academia","ArcGIS;Google Earth","ArcGIS","Primarily","No","50/50","Python;R","Python;JavaScript;R","File Geodatabase (ESRI)","No",,,"Laptop/tablet only","Yes - More than once a month","Negatively","Yes","To some extent","8","6","Don't care"
"Male","United States","Minnesota","25 to 34","Master's Degree","Maybe","Mid level","78400","2-5 years","Coordinator","Yes","Local Government","ArcGIS;AutoCAD;QGIS","ArcGIS","A bit","GIMP;No;Extremely rare when I do","Vector","GIMP;SQL Server","No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Not much difference","I was, but back in the office now","No","8","8","No"
"Male","Other",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","21000","11-25 years","Manager","No","Defense","Global Mapper;Google Earth;QGIS","QGIS",,"PhotoShop","50/50","GIMP","Python;JavaScript;Java","MySQL","No",,,"2","Yes - Once a month","Not much difference","No","No","8","9","No"
"Male","United States","California","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","90000","11-25 years","Specialist","Yes","Environmental","ArcGIS;Google Earth","ArcGIS","A bit","PhotoShop","Vector","Python;SQL Server","No","File Geodatabase (ESRI)","No",,,"2","Yes - Once a year","Positively","Yes","To some extent","8","8","Don't care"
"Other / Prefer not to say","United States","Ohio","18 to 24","Bachelor's (Undergraduate) Degree",,"Self employed (Entrepreneur, Freelancer, etc..)","30000","1-2 years",,"No","Non-Profit","ArcGIS;AutoCAD;Google Earth;QGIS","Google Earth","A bit","GIMP","Vector","GIMP;Matlab;Python","Python;JavaScript","File Geodatabase (ESRI)","No",,,"3","No","Negatively","Yes","To some extent","6","9","haha memes go brrrr"
"Male","United States","South Carolina","25 to 34","Master's Degree","Yes","Mid level","75000","1-2 years","Consultant","No","Consulting","ArcGIS;ENVI;ERDAS;Google Earth","ArcGIS","50/50","No","50/50","Access;Matlab;Pix4D;Python;R;SQL Server","SQL","File Geodatabase (ESRI)","No",,,"3","Yes - More than once a month","Not much difference","Yes","To some extent","6","6","Don't care"
"Female","United States","California","25 to 34","Master's Degree","Only through a funded program","Looking for work","65000","1-2 years","Analyst","No","Natural Resources","ArcGIS;ENVI;Global Mapper;Google Earth;QGIS","ArcGIS","Primarily","No","50/50","Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",,,"2","No","Negatively","Yes","To some extent","5","4","haha memes go brrrr"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","50000","1-2 years","Developer","Yes","Engineering","ArcGIS;Global Mapper;Google Earth;GRASS;QGIS","ArcGIS","50/50","Illustrator","50/50","GDAL;Pix4D;PyCharm;Python;R;SQL Server","Python;SQL;JavaScript","MySQL","No",,,"2","Yes - More than once a year","Not much difference","No","No","9","9","haha memes go brrrr"
"Male","United States","Oklahoma","25 to 34","Master's Degree","Maybe","Mid level","66000","5-10 years","Technician","Yes","Oil and Gas","ArcGIS;Google Earth","ArcGIS","No","No","Vector","Access;FME;Python;SQL Server","No","Oracle","No",,,"2","No","Not much difference","Yes","Yes","8","7","Don't care"
"Female","United States","Texas","35 to 44","Master's Degree","Yes","Mid level","58000","5-10 years","Analyst","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","A bit","No","50/50","Access;Python;SQL Server","Python","File Geodatabase (ESRI)","No",,,"1","No","Positively","Yes","To some extent","8","10","No"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Self employed (Entrepreneur, Freelancer, etc..)","71000","2-5 years","Consultant","Yes","Academia","QGIS","QGIS",,"No","Vector","PostGIS;Python","Python;SQL;.NET;C#","PostgreSQL","No","No","No","2","No","Not much difference","Yes","I was already working from home","4","3","Yes"
"Male","Germany",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Student Job in my field ","500","1-2 years","Intern","No","Local Government","ArcGIS;QGIS","QGIS","A bit","DaVinci Resolve for animated maps ","Vector","R","No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Negatively","Yes","To some extent","9","10","No"
"Male","Canada",,"35 to 44","Master's Degree","No","Mangement","70000","11-25 years","Manager","Yes","Consulting","ArcGIS;AutoCAD","ArcGIS","A bit","No","Vector","Access;Python;R;SQL Server","Python;SQL;JavaScript","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","7","5","No"
"Male","United States","Indiana","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","44000","2-5 years","Analyst","Yes","Utilities","ArcGIS;AutoCAD;Google Earth;SmallWorld","ArcGIS","Exclusively","No","Vector",,"No","File Geodatabase (ESRI)","No",,,"3","Yes - More than once a year","Not much difference","Yes","No","5","7","haha memes go brrrr"
"Male","United States","Montana","25 to 34","Bachelor's (Undergraduate) Degree",,"Looking for work","0","Not employed.",,,,"ArcGIS;Google Earth","ArcGIS","Primarily","Illustrator;PhotoShop",,,"No","Oracle","Graduate certificate ","No",,"2","Yes - Most days","Not much difference","Yes","Yes","10","10","No"
"Male","United Kingdom",,"18 to 24","Master's Degree","Yes","Mid level","40000","2-5 years","Consultant","Yes","Consulting","ArcGIS;ENVI;Google Earth;Idrisi;QGIS","ArcGIS","50/50","No","Vector","Python;R","No;Python","File Geodatabase (ESRI)","Working towards cgeog","No","No","3","No","Not much difference","Yes","To some extent","10","8","haha memes go brrrr"
"Male","United States","Pennsylvania","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","45000","Under 1 year","Specialist","Yes","Energy","ArcGIS;Google Earth","ArcGIS","A bit","No","Vector","Python;VS Code","Python","SQL Server","No","No",,"3",,"Not much difference","Yes","To some extent","6","8","haha memes go brrrr"
"Male","United States","New Mexico","18 to 24","Doctorate degree","Yes","Student - University/College","38000","2-5 years","Research Assistant","No","Academia","ArcGIS;ENVI;Google Earth","ArcGIS","Exclusively","No","Raster","GDAL;Matlab;Python","Python","File Geodatabase (ESRI)","No","No","No","2","No","Not much difference","Yes","Yes","10","8","No"
"Female","United States","Missouri","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","45000","5-10 years","Specialist","Yes","Non-Profit","ArcGIS;Google Earth","ArcGIS","A bit","No","Vector","Access;SQL Server","No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","9","10","haha memes go brrrr"
"Male","United States","Colorado","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","70000","5-10 years","Analyst","Yes","Utilities","ArcGIS","ArcGIS","No","No","Vector","Python;SQL Server","Python;SQL","SQL Server","GISP","Yes",,"3","No","Not much difference","Yes","To some extent","8","7","haha memes go brrrr"
"Male","United States","Oregon","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","23000","Under 1 year","Intern","Yes","Local Government","ArcGIS;QGIS","ArcGIS","A bit","No","Vector",,"No","File Geodatabase (ESRI)","No",,,"2","Yes - Once a year","Not much difference","No","To some extent","7","6","Don't care"
"Male","United States","Colorado","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","80000","2-5 years","Analyst","No","Telecommunications","ArcGIS;AutoCAD;Google Earth;MapInfo;QGIS;SmallWorld;Microstation","Other","Primarily","InkScape;GIMP","Vector","FME;Microstation;PostGIS;Python;VS Code","No","PostgreSQL","No",,,"2","No","Positively","No","No","8","8","haha memes go brrrr"
"Male","United States","California","25 to 34","Master's Degree","Yes","Entry level","63500","2-5 years","Planner","No","Urban Planning","ArcGIS;Google Earth;QGIS","ArcGIS","Exclusively","No","Vector","InDesign;Excel","No","None (ShapeFiles baby)","No",,,"2","Yes - More than once a month","Negatively","Yes","To some extent","8","8","haha memes go brrrr"
"Female","United States","Iowa","18 to 24","Some college",,"Student - University/College","7000","5-10 years","Barista","No","Retail","ArcGIS;Google Earth","ArcGIS","Exclusively","No","Raster","GIMP;Matlab;Python;SQL Server","No","File Geodatabase (ESRI)","No",,,"Laptop/tablet only","No","Positively","No","No","9","10","haha memes go brrrr"
"Female","Canada","Not United States","35 to 44","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Mid level","60000","11-25 years","Support Specialist","No","Transportation","ArcGIS;QGIS","ArcGIS","Primarily","No","50/50","IBM DB2","SQL","File Geodatabase (ESRI)","No","No","No","2","No","Not much difference","Yes","Yes","7","7","haha memes go brrrr"
"Male","United States",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","45000","1-2 years","Technician","Yes","Central Government","ArcGIS","ArcGIS","No","No","Vector",,"No","File Geodatabase (ESRI)","No",,,"2","No","Negatively","Yes","To some extent","8","8","No"
"Male","United States","Minnesota","18 to 24","High School or equivalent",,"Student - University/College","0","Not employed.",,,,"ArcGIS;Google Earth;QGIS","ArcGIS","No","No",,,"No","None (ShapeFiles baby)","No",,,,,,,,"5","5",
"Male","United States","Virginia","25 to 34","Master's Degree","Yes","Mid level","70000","2-5 years","Support Specialist","No","GIS","ArcGIS;QGIS","ArcGIS","Exclusively","No","50/50","GDAL;Python","Python;SQL","PostgreSQL","Esri Desktop Cert","Yes","No","2","No","Not much difference","Yes","To some extent","8","8","haha memes go brrrr"
"Male","Germany",,"25 to 34","Master's Degree","Yes","Entry level","37200","Under 1 year","Research Assistant","No","Academia","ArcGIS;QGIS","QGIS","No","No","Raster","GDAL;PyCharm;Python","Python","None (ShapeFiles baby)","No",,,"2","Yes - Once a month","Not much difference","Yes","To some extent","8","6","haha memes go brrrr"
"Male","Other","Not United States","18 to 24","Master's Degree","Yes","Looking for work","0","Not employed.",,"Yes",,"ArcGIS;ENVI;ERDAS;Global Mapper;Google Earth;GRASS;MapInfo;QGIS","ArcGIS","50/50","Illustrator;PhotoShop","50/50","Access;SAS;SQL Server","SQL","File Geodatabase (ESRI)","No",,,"Laptop/tablet only",,"Negatively","Yes","To some extent","8","9","Don't care"
"Male","United States","Colorado","45 to 54","High School or equivalent",,"Mid level","100000","11-25 years","Developer","No","IT","ArcGIS","ArcGIS","A bit","No","Vector","Python;SQL Server;VS Code;Visual Studio","Python;SQL;.NET;C#;JavaScript","SQL Server","No",,,"3","No","Negatively","Yes","To some extent","8","10","No"
"Female","Canada",,"18 to 24","High School or equivalent",,"Student - University/College","10000","2-5 years",,,,"ArcGIS;ERDAS;QGIS","ArcGIS","A bit","No","Raster","Python","No","Personal Geodatabase (ESRI)","No",,,"2",,,,,"8","3","No"
"Female","United States","California","18 to 24","Bachelor's (Undergraduate) Degree","Maybe","Student - University/College","30000","2-5 years","Research Assistant","No","Academia","ArcGIS;Google Earth","ArcGIS","Primarily","No","50/50","GDAL;Python;R;SAS","Python","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","10","10","haha memes go brrrr"
"Female","United Kingdom",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","31000","1-2 years","Consultant","Yes","Environmental","ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","Primarily","No","50/50",,"No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","8","8","No"
"Male","United States","Washington","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","77000","11-25 years","Technician","Yes","Local Government","ArcGIS","ArcGIS","Primarily","No","Vector","Python","No","File Geodatabase (ESRI)","GISP","Yes","No","2","Yes - Once a year","Not much difference","Yes","To some extent","8","5","No"
"Female","United States","California","35 to 44","Master's Degree","Yes","Mid level","75000","1-2 years","Manager","No","Environmental","ArcGIS;QGIS","ArcGIS","Exclusively","No","50/50",,"No","None (ShapeFiles baby)","No",,,"2","Yes - More than once a year","Negatively","Yes","To some extent","5","5","No"
"Female","Australia",,"25 to 34","Master's Degree","Yes","Mid level","70000","2-5 years","Consultant","Yes","Mining","ArcGIS;Global Mapper;Google Earth","ArcGIS","Primarily","Illustrator","50/50","Access;GDAL;PostGIS;PyCharm;Python;R;SQL Server","Python;SQL;JavaScript","SQL Server","No",,,"2","No","Not much difference","I was, but back in the office now","No","9","8","No"
"Male","Canada","Not United States","18 to 24","Bachelor's (Undergraduate) Degree","N:a","Student - University/College","10000","Not employed.","N/a","N/a","Local Government","ArcGIS;ENVI;Google Earth;Idrisi;QGIS","ArcGIS","No","No","50/50","Python;R","No","File Geodatabase (ESRI)","No","No","No","Laptop/tablet only","No","Positively","Yes","To some extent","5","6","No"
"Male","Canada",,"45 to 54","Master's Degree","No","Mangement","300000","11-25 years","Manager","No","Civil Engineering","ArcGIS","ArcGIS","Primarily","No","Vector","Access;GDAL;Microstation;Python;SQL Server","Python;SQL","SQL Server","No",,,"1","No","Not much difference","I was, but back in the office now","No","9","9","Yes"
"Female","Ireland",,"18 to 24","Master's Degree","Yes","Entry level","36500","2-5 years","Technician","Yes","Environmental","ArcGIS;ERDAS;Google Earth;MapInfo;QGIS","ArcGIS","Exclusively","No","Raster","Access;R;SQL Server","SQL","None (ShapeFiles baby)","No",,,"2","No","Not much difference","Yes","No","8","9","haha memes go brrrr"
"Male","United States","Pennsylvania","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","120000","5-10 years","Developer","Yes","Agriculture","QGIS","None",,"No","50/50","VS Code;Not actually ""software"" but since you listed other languages, JavaScript","JavaScript","PostgreSQL","No","No","No","1","No","Not much difference","I was already working from home","Yes","10","8","haha memes go brrrr"
"Male","United States","Tennessee","25 to 34","I have a BA in Environmental Science and two Graduate Certificates. 1 in GIS and 1 in Data Analytics.","Maybe","Mid level","41000","2-5 years","Specialist","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector","Python;VS Code","It is not a strict requirement, but basic SQL and an understanding of Python are very helpful.","SQL Server","No",,,"2","Yes - More than once a year","Not much difference","No","No","3","3","No"
"Male","Canada",,"18 to 24","3-Year Degree (Technical)",,"Mid level","37000","1-2 years","Technician","geomatics","Forestry","ArcGIS","ArcGIS","A bit","No","Vector","Python;SQL Server","No","SQL Server","No","No",,"3","No","Positively","Yes","To some extent","10","10","Don't care"
"Male","United States","Oregon","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","50000","2-5 years","Analyst","Yes","Central Government","ArcGIS;Google Earth","ArcGIS","50/50","Illustrator","Vector","FME;Python","No;Python","None (ShapeFiles baby)","No","No","No","2","No","Positively","Yes","Yes","4","3","No"
"Male","Other",,"35 to 44","Less than High School","No","Mid level","110000","11-25 years","Technology Architect","No","IT","Google Earth;GRASS;QGIS","QGIS","No","No","Vector","GDAL;PostGIS;Python","Python;JavaScript","PostgreSQL","No","No","No","3","No","Not much difference","Yes","Yes","7","7","haha memes go brrrr"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","60000","2-5 years","Project Manager","No","Civil Engineering","ArcGIS;AutoCAD;QGIS","ArcGIS","No","No","Vector","Access","No","None (ShapeFiles baby)","No",,,"3","Yes - Once a week","Not much difference","No","No","6","8","No"
"Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","52000","Under 1 year","Analyst","Yes","Consulting","ArcGIS;ENVI;Google Earth","ArcGIS","Primarily","Illustrator;PhotoShop;GIMP","50/50","FME;GIMP;PostGIS;Python;SQL Server;VS Code","Python;SQL","PostgreSQL","No","No","No","2","Yes - Once a month","Negatively","Yes","To some extent","9","9","No"
"Male","United States","Michigan","35 to 44","Master's Degree","Maybe","Mangement","48000","2-5 years","Coordinator","Yes","Local Government","ArcGIS;Google Earth;QGIS","ArcGIS","50/50","GIMP","Vector","GIMP","No","None (ShapeFiles baby)","No",,,"2","No","Not much difference","Yes","To some extent","8","8","No"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","92000","2-5 years","Developer","No","GIS","ArcGIS","ArcGIS","No","No","50/50","Python","Python;SQL;.NET;C#;JavaScript;Java","PostgreSQL","No",,,"4+","No","Not much difference","Yes","Yes","8","7","Don't care"
