"Timestamp","Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income level in US Dollars","How long have you been working?","If employed, what is your current job title (without the GIS)?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?"
"2019/06/07 9:52:59 PM GMT+1","Male","New Zealand",,"25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Mid level","$50,000 - $75,000","5-10 years","Analyst","Local Government","ArcGIS;Global Mapper;QGIS","ArcGIS","Primarily","No","50/50","GDAL;GIMP;Python;SQL Server;Dronedeploy","Python;SQL","SQL Server","No",8,9
"2019/06/07 9:54:19 PM GMT+1","Male","United States","Arizona","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Analyst","Utilities","ArcGIS","ArcGIS","A bit","No","Vector","ArcFM","No","File Geodatabase (ESRI)","No",8,7
"2019/06/07 9:56:10 PM GMT+1","Female","United States","New Jersey","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Specialist","Central Government","ArcGIS","ArcGIS","50/50","No","50/50","Access","Python","File Geodatabase (ESRI)","No",10,4
"2019/06/07 10:02:38 PM GMT+1","Male","United States","Texas","25 to 34","High School or equivalent",,"Entry level","$40,000 - $50,000","5-10 years","Technician","Local Government","ArcGIS;Google Earth","ArcGIS","A bit","No","Vector",,"No","SQL Server","No",8,6
"2019/06/07 10:03:32 PM GMT+1","Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$75,000 - $100,000","5-10 years","Specialist","Utilities","ArcGIS;ERDAS;Global Mapper;Google Earth;GRASS;QGIS;SAGA, FME","QGIS",,"No","50/50","FME;GDAL;PostGIS;Python","Python","PostgreSQL","No",8,2
"2019/06/07 10:03:53 PM GMT+1","Male","United States","Georgia","45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","11-25 years","Analyst","Local Government","ArcGIS","ArcGIS","A bit","No","Vector","Microstation;Python;SQL Server","Python;SQL","SQL Server","No",9,9
"2019/06/07 10:04:10 PM GMT+1","Male","United States",,"25 to 34","Master's Degree","Yes","Mid level","$40,000 - $50,000","5-10 years","Research Analyst","Non-Profit","ArcGIS","ArcGIS","A bit","No","Vector",,"No","File Geodatabase (ESRI)","No",7,8
"2019/06/07 10:06:53 PM GMT+1","Male","United States","California","35 to 44","High School or equivalent",,"Mid level","$75,000 - $100,000","11-25 years","Developer","GIS","ArcGIS","ArcGIS","A bit","No",,"Python;SQL Server","Python;SQL;.NET;C#;JavaScript;Java","SQL Server","Esri certified enterprise associate",9,10
"2019/06/07 10:07:15 PM GMT+1","Female","United States","New Mexico","35 to 44","2-Year Degree (Technical, Certificate, Associate's, etc)","No","Student - University/College","Under $20,000","26 or more years","Intern","Utilities","ArcGIS","ArcGIS","No","No","50/50",,"No","File Geodatabase (ESRI)","No",9,9
"2019/06/07 10:08:32 PM GMT+1","Male","Poland",,"18 to 24","High School or equivalent",,"Student - University/College","Under $20,000","Not employed.",,,"ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","50/50","PhotoShop","50/50","Pix4D","No","File Geodatabase (ESRI)","No",7,5
"2019/06/07 10:09:46 PM GMT+1","Male","United States","Tennessee","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Analyst","Local Government","ArcGIS","ArcGIS","50/50","No","50/50","Access;GIMP;Python;SQL Server","Python;JavaScript;CSS ","File Geodatabase (ESRI)","No",8,6
"2019/06/07 10:11:15 PM GMT+1","Male","United States","Massachusetts","25 to 34","Master's Degree","Yes","Entry level","$50,000 - $75,000","1-2 years","Transportation Planner","Local Government","ArcGIS;QGIS","ArcGIS","No","InkScape","Vector","R","No","None (ShapeFiles baby)","No",8,8
"2019/06/07 10:13:06 PM GMT+1","Male","United States","Virginia","35 to 44","2-Year Degree (Technical, Certificate, Associate's, etc)","Yes","Mid level","$75,000 - $100,000","1-2 years","Analyst","Defense","ArcGIS","ArcGIS","Primarily","No","Vector",,"No","None (ShapeFiles baby)","NGA GPC",9,7
"2019/06/07 10:14:25 PM GMT+1","Male","Canada",,"55 to 64","Bachelor's (Undergraduate) Degree",,"Mangement","$75,000 - $100,000","26 or more years","Manager","Consulting","ArcGIS;Google Earth","ArcGIS","No","No","Vector","FME;PostGIS;Python;R;SQL Server;Geocortex","Python;SQL;C#;JavaScript","SQL Server","No",8,9
"2019/06/07 10:15:33 PM GMT+1","Male","United States","Ohio","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$30,000 - $40,000","Under 1 year","Sanitarian","Local Government","ArcGIS;Google Earth","ArcGIS","No","No","Vector","Access","No","None (ShapeFiles baby)","No",7,7
"2019/06/07 10:19:15 PM GMT+1","Female","Australia",,"25 to 34","Master's Degree","Maybe","Self employed (Entrepreneur, Freelancer, etc..)","$100,000 - $150,000","5-10 years","Consultant","Central Government","ArcGIS;QGIS","ArcGIS","No","Illustrator","Vector","Access;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",10,7
"2019/06/07 10:19:53 PM GMT+1","Male","Czechia",,"18 to 24","Master's Degree","No","Entry level","$20,000 - $30,000","1-2 years","Developer","Web development","QGIS","QGIS",,"No","Vector","GDAL;PostGIS;Python","JavaScript","PostgreSQL","No",6,3
"2019/06/07 10:22:20 PM GMT+1","Male","United States","Minnesota","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$20,000 - $30,000","Under 1 year","Intern","Central Government","ArcGIS","ArcGIS","No","Illustrator","Vector",,"No","File Geodatabase (ESRI)","No",6,4
"2019/06/07 10:23:38 PM GMT+1","Male","United States","Texas","35 to 44","Master's Degree","Yes","Mid level","$75,000 - $100,000","5-10 years","Analyst","Education","ArcGIS;Google Earth;QGIS","ArcGIS","No","No","Vector","Access;Python","No","File Geodatabase (ESRI)","No",8,8
"2019/06/07 10:23:45 PM GMT+1","Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree","Maybe","Looking for work","Under $20,000","Under 1 year","Research Assistant","Academia","ArcGIS;QGIS","QGIS",,"No","50/50","FME;Pix4D;PostGIS;Python","Python;SQL;JavaScript","PostgreSQL","No",9,9
"2019/06/07 10:36:52 PM GMT+1","Male","United States","Pennsylvania","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$30,000 - $40,000","Under 1 year","Stereo Operator ","Consulting","ArcGIS;AutoCAD","ArcGIS","A bit","Illustrator","Vector",,"Python","None (ShapeFiles baby)","No",7,9
"2019/06/07 10:38:33 PM GMT+1","Female","United States","Pennsylvania","25 to 34","Master's Degree","Maybe","Mid level","$50,000 - $75,000","2-5 years","Analyst","Utilities","ArcGIS","ArcGIS","No","No","Vector",,"No","File Geodatabase (ESRI)","No",8,8
"2019/06/07 10:41:46 PM GMT+1","Female","United Kingdom",,"35 to 44","High School or equivalent",,"Voluntary work","Under $20,000","11-25 years",,"Academia","GRASS;QGIS","QGIS",,"InkScape","Vector","GDAL;PostGIS;Python","Python;SQL","PostgreSQL","No",8,7
"2019/06/07 10:43:25 PM GMT+1","Male","United Kingdom",,"25 to 34","Master's Degree","Yes","Mid level","$75,000 - $100,000","5-10 years","Specialist","Energy","ArcGIS;AutoCAD;QGIS","ArcGIS","A bit","InkScape","50/50","FME;PostGIS;Python;SQL Server","Python;SQL","PostgreSQL","No",8,8
"2019/06/07 10:44:59 PM GMT+1","Pan dimensional attack helicopterkin","United States","Iowa","25 to 34","Master's Degree","No","Mid level","$40,000 - $50,000","5-10 years","Technician","Local Government","ArcGIS;CAMA","ArcGIS","A bit","No","Vector",,"Python;SQL","File Geodatabase (ESRI)","No",10,8
"2019/06/07 10:46:42 PM GMT+1","Male","United States","Ohio","35 to 44","High School or equivalent",,"Mid level","$50,000 - $75,000","11-25 years","Analyst","Local Government","ArcGIS","ArcGIS","A bit","GIMP","Vector","Access;FME;GIMP;Microstation;Python;SQL Server","No","SQL Server","No",10,10
"2019/06/07 10:47:32 PM GMT+1","Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","$50,000 - $75,000","2-5 years","Analyst","Local Government","ArcGIS","ArcGIS","50/50","Illustrator","Vector","FME;GIMP;Python;SAS;SQL Server","No","SQL Server","GIS Certificate",9,9
"2019/06/07 10:49:01 PM GMT+1","Female","United States","South Dakota","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$40,000 - $50,000","5-10 years","Coordinator","Central Government","ArcGIS;Google Earth;QGIS","ArcGIS","A bit","GIMP","Vector","GIMP","No","File Geodatabase (ESRI)","No",7,7
"2019/06/07 10:49:05 PM GMT+1","Male","United States","Michigan","18 to 24","Bachelor's (Undergraduate) Degree",,"Looking for work","Under $20,000","Not employed.",,,"ArcGIS","ArcGIS","50/50","PhotoShop","50/50",,"No","File Geodatabase (ESRI)","No",5,9
"2019/06/07 10:53:24 PM GMT+1","Male","United States","Texas","25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Student - University/College","$30,000 - $40,000","2-5 years","Intern","Oil and Gas","ArcGIS;QGIS","ArcGIS","50/50","No","Raster","FME;Python","SQL","File Geodatabase (ESRI)","No",8,9
"2019/06/07 10:54:16 PM GMT+1","Male","United States","New Jersey","18 to 24","Master's Degree","Recommend a non-GIS masters","Entry level","$75,000 - $100,000","Under 1 year","Developer","Utilities","ArcGIS","ArcGIS","A bit","No","Vector","GDAL;Python","Python;JavaScript;Java","File Geodatabase (ESRI)","No",10,10
"2019/06/07 10:54:33 PM GMT+1","Male","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Developer","GIS","Google Earth;QGIS","QGIS",,"No",,"PostGIS","SQL;JavaScript","PostgreSQL","No",7,7
"2019/06/07 10:54:46 PM GMT+1","Male","United States","North Carolina","25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Mid level","$75,000 - $100,000","5-10 years","Analyst","Distribution","None","None",,"No",,"Access;GIMP","Crystal","SQL Server","No",1,1
"2019/06/07 10:56:44 PM GMT+1","Male","United States","California","35 to 44","Master's Degree","Maybe","Mid level","$150,000 or more","11-25 years","Senior GIS Consultant","Energy","ArcGIS","ArcGIS","A bit","No","50/50","Access;GDAL;PyCharm;Python;SQL Server","Python;SQL;.NET;C#;JavaScript","SQLite (SpatiaLite, GeoPackage)","No",8,8
"2019/06/07 10:57:19 PM GMT+1","Male","Romania",,"25 to 34","Master's Degree","Yes","Self employed (Entrepreneur, Freelancer, etc..)","$30,000 - $40,000","5-10 years","Analyst","GIS","ArcGIS;AutoCAD;ERDAS;Global Mapper;Google Earth;QGIS","ArcGIS","Primarily","Illustrator","Vector","FME;R","No","File Geodatabase (ESRI)","Esri certification ",10,8
"2019/06/07 10:59:11 PM GMT+1","Male","United States","Texas","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","1-2 years","Technician","Civil Engineering","AutoCAD;Google Earth;GRASS;QGIS","QGIS",,"No","Vector","Matlab;Pix4D;Python","No","None (ShapeFiles baby)","No",6,10
"2019/06/07 11:03:41 PM GMT+1","Male","United States","Minnesota","25 to 34","Master's Degree","Yes","Mid level","$40,000 - $50,000","2-5 years","Researcher","Archaeology","ArcGIS;Global Mapper;GRASS;QGIS","ArcGIS","No","No","50/50","GDAL;PostGIS;PyCharm;Python","Python;JavaScript","PostgreSQL","GISP",6,6
"2019/06/07 11:09:22 PM GMT+1","Male","Spain",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Looking for work","Under $20,000","Not employed.",,"GIS","ArcGIS;AutoCAD;Google Earth;QGIS","QGIS","No","No","50/50",,"No","None (ShapeFiles baby)","No",8,8
"2019/06/07 11:09:32 PM GMT+1","Male","Germany",,"18 to 24","High School or equivalent",,"Student - University/College","Under $20,000","Not employed.",,,"ArcGIS;ArcWorld","ArcGIS","Exclusively","Illustrator","Vector","InDesign","No","None (ShapeFiles baby)","No",9,9
"2019/06/07 11:09:56 PM GMT+1","Male","United States","Maryland","25 to 34","Master's Degree","Maybe","Mid level","$50,000 - $75,000","2-5 years","Specialist","Local Government","ArcGIS","ArcGIS","No","Illustrator","50/50","InDesign;Pix4D;Python","No","Oracle","GISP",9,8
"2019/06/07 11:19:05 PM GMT+1","Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","Under $20,000","1-2 years","Intern","Transportation","ArcGIS","ArcGIS","A bit","No","Vector",,"No","File Geodatabase (ESRI)","No",10,7
"2019/06/07 11:19:23 PM GMT+1","Male","Italy",,"25 to 34","Master's Degree","Yes","Entry level","$20,000 - $30,000","1-2 years","Consultant","Transportation","ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","No","Illustrator","Vector","InDesign","No","PostgreSQL","No",8,7
"2019/06/07 11:23:36 PM GMT+1","Male","Canada",,"25 to 34","Master's Degree","Yes","Mid level","$75,000 - $100,000","5-10 years","Developer","Environmental","ArcGIS;ENVI;Google Earth;GRASS;QGIS","ArcGIS","50/50","No","Vector","Access;FME;GDAL;PyCharm;Python;SQL Server","Python;SQL;.NET;C#;JavaScript","PostgreSQL","No",8,8
"2019/06/07 11:23:50 PM GMT+1","Female","United States","Oregon","25 to 34","Bachelor's (Undergraduate) Degree",,"Student - University/College","$20,000 - $30,000","2-5 years","Research Assistant","Academia","ArcGIS;Google Earth;QGIS;Google Earth Engine","ArcGIS","Primarily","Illustrator","50/50","PyCharm;Python;R;Atom, R Studio","Python;SQL;JavaScript","File Geodatabase (ESRI)","No",8,8
"2019/06/07 11:24:29 PM GMT+1","Female","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","5-10 years","Project Manager","Consulting","ArcGIS;Google Earth","ArcGIS","No","No","Vector","SQL Server","No","SQL Server","No",7,7
"2019/06/07 11:29:01 PM GMT+1","Male","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$75,000 - $100,000","2-5 years","Analyst","IT","ArcGIS","ArcGIS","50/50","No","50/50","Access;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",8,10
"2019/06/07 11:34:09 PM GMT+1","Male","United States","Colorado","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$100,000 - $150,000","11-25 years","Developer","Telecommunications","ArcGIS;Google Earth;QGIS;SmallWorld","None","No","No","50/50","FME;PostGIS;Python","Python;SQL;JavaScript;Bash","PostgreSQL","No",10,7
"2019/06/07 11:34:10 PM GMT+1","Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","2-5 years","Big Data Engineer","IT","None","None",,"No",,"PostGIS;PyCharm;Python","Python;SQL;Java","PostgreSQL","No",8,3
"2019/06/07 11:44:32 PM GMT+1","Male","United States","Ohio","25 to 34","Master's Degree","Yes","Student - University/College","$20,000 - $30,000","2-5 years","Researcher","Academia","ArcGIS;ENVI;ERDAS;Google Earth;QGIS","ArcGIS","Exclusively","No","50/50","Matlab;Python;R","Python","None (ShapeFiles baby)","No",7,9
"2019/06/07 11:46:02 PM GMT+1","Male","Norway",,"25 to 34","Master's Degree","Yes","Mid level","$50,000 - $75,000","5-10 years","Consultant","GIS","ERDAS;QGIS;GeoMedia Professional ","Other",,"No","Vector","Access;FME;GIMP;Pix4D;PostGIS;SQL Server","SQL","SQL Server","No",10,10
"2019/06/07 11:46:34 PM GMT+1","Male","Canada",,"25 to 34","Master's Degree","Yes","Student - University/College","$20,000 - $30,000","Not employed.",,,"QGIS","QGIS",,"No","Vector","R","No","None (ShapeFiles baby)","No",7,7
"2019/06/07 11:48:34 PM GMT+1","Male","South Africa","Not United States","25 to 34","Bachelor of Arts Honours - Archaeology ","Yes","Mangement","$50,000 - $75,000","5-10 years","Manager","Archaeology","Global Mapper;QGIS","QGIS",,"No","Vector","SQL Server","No","MySQL","No",8,9
"2019/06/07 11:50:51 PM GMT+1","Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$40,000 - $50,000","1-2 years","Technician","Forestry","ArcGIS;ENVI;Google Earth;MapInfo;QGIS","ArcGIS","50/50","No","Vector","FME;PostGIS;PyCharm;Python","Python;SQL;JavaScript","Oracle","No",9,7
"2019/06/07 11:58:35 PM GMT+1","Male","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Specialist","Local Government","ArcGIS","ArcGIS","A bit","No","Vector","GIMP","No","File Geodatabase (ESRI)","No",8,7
"2019/06/08 12:05:13 AM GMT+1","Male","United States","California","35 to 44","Master's Degree","Yes","Mid level","$40,000 - $50,000","5-10 years","Researcher","Environmental","ArcGIS","ArcGIS","Primarily","Illustrator","Vector","PostGIS;Python;SQL Server","Python;SQL","PostgreSQL","No",9,8
"2019/06/08 12:05:56 AM GMT+1","Female","United States","Minnesota","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$50,000 - $75,000","2-5 years","Technician","GIS","ArcGIS;QGIS","ArcGIS","A bit","No","Vector","FME;PostGIS;PyCharm;Python","Python;JavaScript","File Geodatabase (ESRI)","No",8,7
"2019/06/08 12:33:22 AM GMT+1","Male","Canada",,"35 to 44","2-Year Degree (Technical, Certificate, Associate's, etc)","Yes","Looking for work","$20,000 - $30,000","11-25 years",,"Natural Resources","Google Earth;GRASS;QGIS","QGIS",,"InkScape","50/50","GDAL;GIMP;PostGIS;Python;R","Python","SQLite (SpatiaLite, GeoPackage)","No",6,8
"2019/06/08 12:33:49 AM GMT+1","Male","United States","Oklahoma","25 to 34","Master's Degree","Yes","Self employed (Entrepreneur, Freelancer, etc..)","$50,000 - $75,000","Under 1 year","Archaeologist ","Archaeology","ArcGIS;Google Earth;QGIS","ArcGIS","Exclusively","Illustrator","Raster","Access;R","Python","None (ShapeFiles baby)","No",8,8
"2019/06/08 12:34:21 AM GMT+1","Male","United States","Washington D.C","25 to 34","Master's Degree","Maybe","Mid level","$50,000 - $75,000","2-5 years","Developer","Central Government","ArcGIS","ArcGIS","50/50","No","Vector","PostGIS;PyCharm;Python","Python;SQL;JavaScript","Oracle","CGeog (UK)",6,5
"2019/06/08 12:36:17 AM GMT+1","Male","United States","California","35 to 44","Bachelor's (Undergraduate) Degree","No","Mangement","$100,000 - $150,000","11-25 years","Manager","Environmental","ArcGIS;AutoCAD;Google Earth","ArcGIS","No","No","Vector","Access;Pix4D","No","File Geodatabase (ESRI)","No",3,4
"2019/06/08 12:42:14 AM GMT+1","Male","United States","Ohio","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$40,000 - $50,000","Under 1 year","Hydraulic Engineer","Engineering","QGIS","QGIS",,"No","50/50","InfoWorks ICM","No","None (ShapeFiles baby)","No",5,5
"2019/06/08 12:47:11 AM GMT+1","Male","United States","Washington","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$50,000 - $75,000","2-5 years","Specialist","Utilities","ArcGIS;AutoCAD","ArcGIS","A bit","No","Vector","GeoExpress","SQL","Personal Geodatabase (ESRI)","No",7,8
"2019/06/08 12:56:17 AM GMT+1","Male","United Kingdom",,"25 to 34","Master's Degree","Yes","Mid level","$40,000 - $50,000","11-25 years","Analyst","Central Government","ArcGIS;QGIS","QGIS","A bit","No","Vector","Access;PostGIS;Python","Python","SQLite (SpatiaLite, GeoPackage)","CGeog (UK)",6,6
"2019/06/08 1:00:24 AM GMT+1","Male","Canada",,"25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Mid level","$50,000 - $75,000","5-10 years","Analyst","Local Government","ArcGIS;Google Earth","ArcGIS","Primarily","PhotoShop","50/50","Access;FME;GIMP;InDesign;Sketchup, LuminRT","CGA","File Geodatabase (ESRI)","No",10,10
"2019/06/08 1:05:09 AM GMT+1","Male","United States","Maryland","35 to 44","Master's Degree","Yes","Mid level","$75,000 - $100,000","2-5 years","Analyst","GIS","ArcGIS","ArcGIS","50/50","Illustrator","50/50","FME;GDAL;GIMP;PostGIS;PyCharm;Python;R;SAS;SQL Server","No","SQL Server","No",9,9
"2019/06/08 1:14:57 AM GMT+1","Female","Australia",,"18 to 24","Bachelor's (Undergraduate) Degree","Yes","Entry level","$50,000 - $75,000","Under 1 year","Analyst","Natural Resources","ArcGIS","ArcGIS","No","No","Vector",,"Python","None (ShapeFiles baby)","No",8,10
"2019/06/08 1:18:42 AM GMT+1","Male","United States","California","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$75,000 - $100,000","2-5 years","Developer","GIS","ArcGIS;Google Earth;QGIS","QGIS","A bit","No","50/50","GDAL;PostGIS;Python;SQL Server","Python;SQL;.NET;C#;JavaScript;Java","PostgreSQL","No",9,9
"2019/06/08 1:19:04 AM GMT+1","Male","United States","West Virginia","55 to 64","High School or equivalent",,"Mangement","$40,000 - $50,000","11-25 years","Coordinator","Local Government","ArcGIS;AutoCAD;Google Earth","ArcGIS","No","No","50/50",,"No","File Geodatabase (ESRI)","No",6,9
"2019/06/08 1:23:20 AM GMT+1","Male","Panama",,"45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","$20,000 - $30,000","11-25 years","Developer","GIS","ArcGIS;GRASS;QGIS","ArcGIS","Exclusively","No","50/50","GDAL;GIMP;Matlab;PostGIS;PyCharm;Python;R;SQL Server","Python;SQL;JavaScript","PostgreSQL","No",7,6
"2019/06/08 1:27:24 AM GMT+1","Male","Canada","Not United States","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$30,000 - $40,000","Under 1 year","Technician","Telecommunications","ArcGIS;AutoCAD;Google Earth;PCI Geomatica ","ArcGIS","Primarily","No","50/50","PostGIS;PyCharm;Python;R","Python","PostgreSQL","No",7,8
"2019/06/08 1:30:44 AM GMT+1","Male","United States","Indiana","18 to 24","High School or equivalent",,"Student - University/College","Under $20,000","Not employed.","Intern","Forestry","ArcGIS;QGIS","QGIS","Exclusively","Illustrator","Vector",,"No","SQLite (SpatiaLite, GeoPackage)","No",6,6
"2019/06/08 1:34:29 AM GMT+1","Male","United States","Missouri","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$30,000 - $40,000","Under 1 year","Analyst","Telecommunications","ArcGIS;QGIS","ArcGIS","No","No","Vector","PostGIS","No","File Geodatabase (ESRI)","No",7,9
"2019/06/08 1:34:59 AM GMT+1","Male","Mexico","Not United States","25 to 34","Bachelor's (Undergraduate) Degree","Yes","Entry level","Under $20,000","Under 1 year","Developer","Defense","Google Earth","Google Earth",,"Postgis",,,"SQL;.NET;JavaScript;Java;Php","SQL Server","No",10,10
"2019/06/08 1:35:21 AM GMT+1","Female","United States","Missouri","25 to 34","Bachelor's (Undergraduate) Degree","No","Mid level","$40,000 - $50,000","2-5 years",,"Law enforcement","ArcGIS;QGIS","ArcGIS","Primarily","No","Vector","R","R","None (ShapeFiles baby)","No",7,10
"2019/06/08 1:39:26 AM GMT+1","Male","United States","Ohio","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$50,000 - $75,000","1-2 years","Technician","Central Government","ArcGIS","ArcGIS","A bit","No","Vector","Access;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",8,10
"2019/06/08 1:42:26 AM GMT+1","Male","New Zealand",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$30,000 - $40,000","Under 1 year","Analyst","Consulting","ArcGIS;QGIS","QGIS","No","No","Vector","FME;R","No","File Geodatabase (ESRI)","No",8,9
"2019/06/08 1:43:08 AM GMT+1","Male","United States","Alaska","18 to 24","Bachelor's (Undergraduate) Degree",,"Employed in other field, recent grad","$20,000 - $30,000","2-5 years","Engineering technician","Transportation","ArcGIS;ERDAS;Google Earth","ArcGIS","No","Illustrator","50/50",,"No","None (ShapeFiles baby)","No",8,9
"2019/06/08 1:43:55 AM GMT+1","Male","Australia",,"18 to 24","High School or equivalent",,"Student - University/College","$40,000 - $50,000","2-5 years","Consultant","GIS Company that provides services to many industries","ArcGIS;Visual Studio Code ","ArcGIS","Primarily","PhotoShop","50/50","PyCharm;Python;SQL Server","Python;SQL;JavaScript","PostgreSQL","No",8,8
"2019/06/08 1:43:58 AM GMT+1","Male","United States","Georgia","25 to 34","Master's Degree","Maybe","Mid level","$50,000 - $75,000","2-5 years","Consultant","Consulting","ArcGIS;QGIS","ArcGIS","Primarily","InkScape","Vector","FME;PostGIS;Python;SQL Server","Python;SQL;JavaScript","SQL Server","No",8,7
"2019/06/08 1:44:47 AM GMT+1","Female","United States","Colorado","25 to 34","Master's Degree","Yes","Self employed (Entrepreneur, Freelancer, etc..)","$40,000 - $50,000","2-5 years","Consultant","Environmental","ArcGIS;ENVI;Google Earth","ArcGIS","A bit","No","50/50","Python;R","No","File Geodatabase (ESRI)","No",8,9
"2019/06/08 1:46:57 AM GMT+1","Male","United States","Colorado","25 to 34","Master's Degree","Yes","Mid level","$75,000 - $100,000","2-5 years","Consultant","GIS","ArcGIS","ArcGIS","Primarily","No","Vector","Access;Python;SQL Server","Python;SQL","SQL Server","GISP",9,9
"2019/06/08 1:48:53 AM GMT+1","Male","Ireland",,"45 to 54","Doctorate degree","Yes","Mid level","$40,000 - $50,000","5-10 years","Research Analyst","Consulting","ArcGIS;Google Earth;QGIS","QGIS","A bit","Illustrator","Vector","GDAL;InDesign;PostGIS","SQL","PostgreSQL","No",8,8
"2019/06/08 1:50:01 AM GMT+1","Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Analyst","Civil Engineering","ArcGIS","ArcGIS","No","No","Vector",,"No","File Geodatabase (ESRI)","No",7,5
"2019/06/08 1:54:19 AM GMT+1","Male","United States","Arizona","25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","$50,000 - $75,000","2-5 years","Manager","Civil Engineering","AutoCAD;Google Earth;QGIS","QGIS",,"PhotoShop","Raster","GDAL;Pix4D;Python","Python;Batch","None (ShapeFiles baby)","University Certificate, ASPRS GIS/LIS Technologist",9,8
"2019/06/08 1:54:27 AM GMT+1","Female","United States","Oregon","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Analyst","Environmental","ArcGIS","ArcGIS","A bit","No","Vector","Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",9,9
"2019/06/08 1:56:56 AM GMT+1","Male","United States","Minnesota","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","11-25 years","Analyst",,"ArcGIS","ArcGIS","Exclusively","No","Vector","Access;Python;SAS;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",5,5
"2019/06/08 2:00:45 AM GMT+1","Male","United States","Kentucky","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","11-25 years","Support Specialist","Local Government","ArcGIS;Google Earth;GRASS","ArcGIS","50/50","InkScape","Vector","Access;FME;GIMP","No","File Geodatabase (ESRI)","No",7,8
"2019/06/08 2:02:45 AM GMT+1","Male","United States","Illinois","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","2-5 years","Analyst","Defense","ArcGIS;Google Earth;GeoEye","ArcGIS","No","No","Raster","GDAL;Microstation;Python","Python","File Geodatabase (ESRI)","No",10,10
